id,name,brand_id,year,fuel,price,fk_range
1,R 100 S   (1976-1979),7,1976,2,6061,3
2,R 100 S   (1976-1979),7,1977,2,3323,3
3,R 100 RT   (1978-1996),7,1978,2,5095,1
4,R 100 S   (1976-1979),7,1978,2,10718,3
5,R 100 RT   (1978-1996),7,1979,2,10867,1
6,R 100 S   (1976-1979),7,1979,2,4678,3
7,R 100 RT   (1978-1996),7,1980,2,2346,1
8,R 100 RT   (1978-1996),7,1981,2,10598,1
9,R 100 RT   (1978-1996),7,1982,2,3693,1
10,K 100   (1983-1994),7,1983,2,10092,1
11,R 100 RT   (1978-1996),7,1983,2,9833,1
12,F 650   (1984-1996),7,1984,2,2300,2
13,K 100   (1983-1994),7,1984,2,8352,1
14,K 100 RS   (1984-1994),7,1984,2,2547,3
15,K 100 RS Style   (1984),7,1984,2,6021,2
16,K 100 RT   (1984-1993),7,1984,2,10015,4
17,K 75   (1984-1996),7,1984,2,7749,1
18,R 100 RT   (1978-1996),7,1984,2,9352,1
19,R 80 ST   (1984),7,1984,2,3670,4
20,F 650   (1984-1996),7,1985,2,3031,2
21,K 100   (1983-1994),7,1985,2,4839,1
22,K 100 RS   (1984-1994),7,1985,2,10298,3
23,K 100 RT   (1984-1993),7,1985,2,7261,4
24,K 75   (1984-1996),7,1985,2,4736,1
25,R 100 RT   (1978-1996),7,1985,2,10068,1
26,F 650   (1984-1996),7,1986,2,4962,2
27,K 100   (1983-1994),7,1986,2,4129,1
28,K 100 LT   (1986-1994),7,1986,2,7247,3
29,K 100 RS   (1984-1994),7,1986,2,4735,3
30,K 100 RS Motorsport   (1986-1988),7,1986,2,2253,3
31,K 100 RT   (1984-1993),7,1986,2,8233,4
32,K 75   (1984-1996),7,1986,2,8533,1
33,K 75 RT   (1986-1994),7,1986,2,5804,3
34,K 75 S Special   (1986-1988),7,1986,2,2654,2
35,K 750   (1986-1999),7,1986,2,6089,3
36,R 100 RT   (1978-1996),7,1986,2,8630,1
37,R 80 GS   (1986-1992),7,1986,2,7374,1
38,F 650   (1984-1996),7,1987,2,5280,2
39,K 100   (1983-1994),7,1987,2,2110,1
40,K 100 LT   (1986-1994),7,1987,2,5657,3
41,K 100 RS   (1984-1994),7,1987,2,4039,3
42,K 100 RS Motorsport   (1986-1988),7,1987,2,9774,3
43,K 100 RT   (1984-1993),7,1987,2,7818,4
44,K 75   (1984-1996),7,1987,2,2373,1
45,K 75 RT   (1986-1994),7,1987,2,10299,3
46,K 75 S   (1987-1996),7,1987,2,8970,1
47,K 75 S Special   (1986-1988),7,1987,2,9794,2
48,K 750   (1986-1999),7,1987,2,5468,3
49,R 100 RS   (1987-1995),7,1987,2,5748,1
50,R 100 RT   (1978-1996),7,1987,2,5463,1
51,R 80 GS   (1986-1992),7,1987,2,3064,1
52,F 650   (1984-1996),7,1988,2,6887,2
53,K 100   (1983-1994),7,1988,2,6746,1
54,K 100 LT   (1986-1994),7,1988,2,3536,3
55,K 100 RS   (1984-1994),7,1988,2,2699,3
56,K 100 RS ABS   (1988-1993),7,1988,2,3707,3
57,K 100 RS Motorsport   (1986-1988),7,1988,2,6871,3
58,K 100 RT   (1984-1993),7,1988,2,2379,4
59,K 75   (1984-1996),7,1988,2,8769,1
60,K 75 C   (1988-1989),7,1988,2,1703,4
61,K 75 Mad Max   (1988),7,1988,2,5729,2
62,K 75 RT   (1986-1994),7,1988,2,8133,3
63,K 75 S   (1987-1996),7,1988,2,5942,1
64,K 75 S Special   (1986-1988),7,1988,2,3296,2
65,K 750   (1986-1999),7,1988,2,5756,3
66,R 100 GS   (1988-1993),7,1988,2,9697,4
67,R 100 RS   (1987-1995),7,1988,2,10823,1
